idGame,slugTeam,namePlayer,groupStartPosition,idTeam,idPlayer,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,fg2m,fg2a,pctFG2,cityTeam,teamName,isStarter,minExact,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,plusminus,HEIGHT,WEIGHT
22200480,LAC,Marcus Morris Sr.,F,1610612746,202694,3,9,0.333,3,7,0.42857142857142855,1,0,2,0,LA,Marcus,TRUE,29.983333333333334,2,2,2,2,4,2,0,2,2,3,11,-22,80,218
22200480,LAC,Ivica Zubac,C,1610612746,1627826,3,3,1,0,0,0,1,3,3,1,LA,Ivica,TRUE,33.55,1,1,2,10,12,2,0,2,0,1,7,0,84,240
22200480,LAC,Paul George,G,1610612746,202331,7,18,0.389,3,10,0.3,1,4,8,0.5,LA,Paul,TRUE,35.6,5,5,0,3,3,4,2,0,2,3,22,-16,80,220
22200480,LAC,Reggie Jackson,G,1610612746,202704,2,6,0.333,0,4,0,0,2,2,1,LA,Reggie,TRUE,25.166666666666668,0,0,1,1,2,2,1,0,1,1,4,-13,74,208
22200480,LAC,Norman Powell,NA,1610612746,1626181,8,13,0.615,2,5,0.4,0.429,6,8,0.75,LA,Norman,TRUE,22.833333333333332,3,7,0,4,4,4,0,1,3,0,21,8,76,215
22200480,LAC,Luke Kennard,NA,1610612746,1628379,2,6,0.333,2,4,0.5,1,0,2,0,LA,Luke,TRUE,21.45,2,2,0,2,2,3,1,1,0,3,8,17,77,206
22200480,LAC,Nicolas Batum,NA,1610612746,201587,3,5,0.6,2,4,0.5,1,1,1,1,LA,Nicolas,TRUE,25.333333333333332,2,2,1,1,2,1,0,3,1,4,10,-3,80,230
22200480,LAC,Terance Mann,NA,1610612746,1629611,1,2,0.5,1,2,0.5,0,0,0,0,LA,Terance,TRUE,12.5,0,0,0,1,1,2,1,0,0,1,3,6,77,215
22200480,PHI,Tobias Harris,F,1610612755,202699,6,12,0.5,2,6,0.3333333333333333,0,4,6,0.6666666666666666,Philadelphia,Tobias,TRUE,39.03333333333333,0,0,2,6,8,2,0,0,4,3,14,12,79,226
22200480,PHI,P.J. Tucker,F,1610612755,200782,0,0,0,0,0,0,0,0,0,0,Philadelphia,P.J.,TRUE,20.283333333333335,0,0,0,2,2,0,1,0,0,0,0,-3,77,245
22200480,PHI,Joel Embiid,C,1610612755,203954,18,30,0.6,1,4,0.25,1,17,26,0.6538461538461539,Philadelphia,Joel,TRUE,37.766666666666666,7,7,2,5,7,3,1,2,1,5,44,2,84,280
22200480,PHI,De'Anthony Melton,G,1610612755,1629001,5,10,0.5,3,7,0.42857142857142855,0,2,3,0.6666666666666666,Philadelphia,De'Anthony,TRUE,34.35,0,0,0,3,3,3,3,0,0,3,13,17,74,200
22200480,PHI,James Harden,G,1610612755,201935,6,17,0.353,3,6,0.5,0.833,3,11,0.2727272727272727,Philadelphia,James,TRUE,41.1,5,6,0,11,11,21,1,0,3,2,20,11,77,220
22200480,PHI,Shake Milton,NA,1610612755,1629003,6,10,0.6,0,1,0,1,6,9,0.6666666666666666,Philadelphia,Shake,TRUE,22.783333333333335,1,1,0,2,2,0,1,0,0,2,13,-10,77,205
22200480,PHI,Georges Niang,NA,1610612755,1627777,4,6,0.667,3,5,0.6,0,1,1,1,Philadelphia,Georges,TRUE,24.833333333333332,0,0,1,3,4,1,0,0,0,1,11,5,79,230
22200480,PHI,Matisse Thybulle,NA,1610612755,1629680,0,0,0,0,0,0,0,0,0,0,Philadelphia,Matisse,TRUE,0.55,0,0,0,0,0,0,0,0,0,0,0,-3,77,201
22200480,PHI,Montrezl Harrell,NA,1610612755,1626149,0,1,0,0,0,0,0,0,1,0,Philadelphia,Montrezl,TRUE,4.833333333333333,0,0,0,0,0,1,0,0,1,1,0,-3,79,240
22200480,PHI,Danuel House Jr.,NA,1610612755,1627863,1,1,1,0,0,0,0,1,1,1,Philadelphia,Danuel,TRUE,8.966666666666667,0,0,1,1,2,0,0,0,0,0,2,-7,78,220
22200480,PHI,Furkan Korkmaz,NA,1610612755,1627788,0,0,0,0,0,0,0,0,0,0,Philadelphia,Furkan,TRUE,0.3,0,0,0,0,0,0,0,0,0,1,0,0,79,202
22200480,PHI,Paul Reed,NA,1610612755,1630194,1,1,1,0,0,0,0,1,1,1,Philadelphia,Paul,TRUE,5.2,0,0,0,0,0,0,0,1,0,2,2,4,81,210
22200481,DET,Bojan Bogdanovic,F,1610612765,202711,8,20,0.4,2,7,0.2857142857142857,1,6,13,0.4615384615384616,Detroit,Bojan,TRUE,30.333333333333332,5,5,1,2,3,1,1,0,3,2,23,-12,79,226
22200481,DET,Isaiah Stewart,F,1610612765,1630191,2,7,0.286,2,4,0.5,0.5,0,3,0,Detroit,Isaiah,TRUE,27.95,1,2,1,3,4,3,0,0,2,1,7,-14,80,250
22200481,DET,Jalen Duren,C,1610612765,1631105,5,7,0.714,0,0,0,0.75,5,7,0.7142857142857143,Detroit,Jalen,TRUE,28.183333333333337,3,4,3,5,8,0,0,1,1,2,13,-6,83,250
22200481,DET,Jaden Ivey,G,1610612765,1631093,5,14,0.357,1,3,0.3333333333333333,0.8,4,11,0.3636363636363637,Detroit,Jaden,TRUE,28.333333333333332,4,5,0,2,2,4,1,0,0,5,15,-20,76,195
22200481,DET,Killian Hayes,G,1610612765,1630165,7,10,0.7,1,3,0.3333333333333333,1,6,7,0.8571428571428571,Detroit,Killian,TRUE,31.416666666666668,2,2,0,5,5,5,2,0,1,3,17,-15,77,195
22200481,DET,Alec Burks,NA,1610612765,202692,2,6,0.333,2,4,0.5,0.333,0,2,0,Detroit,Alec,TRUE,20.633333333333333,1,3,0,3,3,1,0,0,4,0,7,-15,78,214
22200481,DET,Saddiq Bey,NA,1610612765,1630180,1,5,0.2,0,2,0,1,1,3,0.3333333333333333,Detroit,Saddiq,TRUE,21.3,4,4,1,2,3,0,0,1,1,0,6,-12,79,215
22200481,DET,Kevin Knox II,NA,1610612765,1628995,2,9,0.222,1,6,0.16666666666666666,0,1,3,0.3333333333333333,Detroit,Kevin,TRUE,16.416666666666668,0,0,0,4,4,0,0,0,0,3,5,-12,79,215
