Game_ID,TEAM_ID_away,TEAM_ID_home,HOME_TEAM_WINS,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTT_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,MIN_home,FTM_home,FTA_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,AWAY_TEAM_WINS,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTT_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,MIN_away,FTM_away,FTA_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,OREB,Total,Spread,AVG_HEIGHT_home,AVG_WEIGHT_home,STARTERS_PM_home,AVG_HEIGHT_away,AVG_WEIGHT_away,STARTERS_PM_away,BULLY_BALL_home,BULLY_BALL_away
21200852,1610612761,1610612739,1,34,82,0.415,5,13,0.384615385,0.938,29,69,0.420289855,240,30,32,13,27,26,7,5,11,19,103,0,35,78,0.449,2,20,0.1,0.8,33,58,0.568965517,240,20,25,9,29,25,3,8,15,25,92,22,195,11,79.11111111111111,227.55555555555551,6,78.36363636363636,223.36363636363637,30,0.1537672124376602,0.1288325218277603
21200407,1610612760,1610612748,1,38,80,0.475,8,28,0.285714286,1,30,52,0.576923077,240,19,19,9,25,20,6,5,14,26,103,0,30,71,0.423,5,16,0.3125,0.842,25,55,0.454545455,240,32,38,11,28,14,8,1,17,25,97,20,200,6,78.5,219.3,31,79.375,227.75,-27,0.1033201618244096,0.16585512178574377
21301046,1610612753,1610612747,1,37,80,0.463,6,16,0.375,0.793,31,64,0.484375,240,23,29,7,27,20,9,4,14,16,103,0,37,82,0.451,6,19,0.315789474,0.824,31,63,0.492063492,240,14,17,13,33,26,5,3,20,24,94,20,197,9,79.88888888888889,224.44444444444449,54,78.27272727272727,223.1818181818182,-43,0.11641418309185272,0.09970748465570951
21400897,1610612756,1610612753,0,41,87,0.471,5,20,0.25,0.867,36,67,0.537313433,240,13,15,9,33,21,13,5,21,26,100,1,37,79,0.468,8,21,0.380952381,0.852,29,58,0.5,240,23,27,9,25,22,10,3,19,15,105,18,205,-5,78.81818181818181,228.0909090909091,13,78.6,221.9,31,0.15219942591416627,0.12481813397721644
21300359,1610612755,1610612751,1,47,78,0.603,21,35,0.6,0.577,26,43,0.604651163,240,15,26,4,38,35,10,2,21,20,130,0,37,90,0.411,8,30,0.266666667,0.6,29,60,0.483333333,240,12,20,8,31,21,14,0,19,24,94,12,224,36,79.72727272727273,226.1818181818182,162,79.6,220.3,-173,0.12152764916944406,0.10310180586907453
21300113,1610612766,1610612738,0,29,77,0.377,7,21,0.333333333,0.72,22,56,0.392857143,240,18,25,10,35,15,5,2,15,26,83,1,30,82,0.366,3,12,0.25,0.867,27,70,0.385714286,240,26,30,12,38,16,8,5,12,20,89,22,172,-6,78.6,220.5,-32,78.375,229.5,29,0.11077067569524282,0.1600125951894502
21200925,1610612761,1610612747,1,39,91,0.429,14,39,0.358974359,0.722,25,52,0.480769231,265,26,36,14,33,23,10,5,13,14,118,0,48,93,0.516,8,22,0.363636364,0.75,40,71,0.563380282,265,12,16,7,36,32,8,6,17,27,116,21,234,2,78.5,220.75,22,78.36363636363636,223.36363636363637,9,0.11061525637363624,0.1288325218277603
21400068,1610612746,1610612744,1,43,74,0.581,15,25,0.6,1,28,49,0.571428571,240,20,20,4,35,29,7,3,23,22,121,0,38,82,0.463,7,19,0.368421053,0.778,31,63,0.492063492,240,21,27,5,25,26,12,2,16,14,104,9,225,17,78.9090909090909,223.27272727272728,78,78.41666666666667,214.25,-94,0.12916129558007633,0.08350686920436425
21200635,1610612749,1610612739,1,45,86,0.523,6,15,0.4,0.773,39,71,0.549295775,240,17,22,8,36,27,10,5,16,17,113,0,43,92,0.467,14,28,0.5,0.615,29,64,0.453125,240,8,13,11,30,34,6,6,17,20,108,19,221,5,78.45454545454545,222.54545454545453,-28,79,216.55555555555551,6,0.09286220158616489,0.08136410835214436
21301218,1610612762,1610612750,0,40,97,0.412,8,25,0.32,0.778,32,72,0.444444444,290,42,54,13,32,24,12,5,15,24,130,1,53,108,0.491,6,24,0.25,0.828,47,84,0.55952381,290,24,29,22,38,30,10,9,19,34,136,35,266,-6,79.7,219.1,-39,78.7,217,33,0.0929906116478892,0.0798409706546276
21200537,1610612765,1610612749,0,36,91,0.396,1,16,0.0625,0.737,35,75,0.466666667,240,14,19,13,35,16,6,12,12,19,87,1,39,90,0.433,8,22,0.363636364,0.68,31,68,0.455882353,240,17,25,14,37,24,8,8,12,13,103,27,190,-16,79.46153846153847,221.53846153846155,-48,79.27272727272727,223,111,0.10006833635736331,0.11031085573568634
21200806,1610612753,1610612742,1,42,88,0.477,11,29,0.379310345,0.889,31,59,0.525423729,240,16,18,7,37,32,6,8,9,19,111,0,39,85,0.459,5,16,0.3125,0.591,34,69,0.492753623,240,13,22,10,33,24,5,4,12,13,96,17,207,15,78.15384615384616,218.07692307692307,25,77.4,216.7,-10,0.09232867000029052,0.08168880014858852
21200037,1610612755,1610612752,1,39,77,0.506,11,27,0.407407407,0.611,28,50,0.56,240,11,18,8,31,18,12,5,15,10,100,0,34,79,0.43,8,17,0.470588235,0.8,26,62,0.419354839,240,8,10,10,31,14,8,2,18,18,84,18,184,16,79.16666666666667,223.08333333333337,47,78.8,220,-21,0.10291793683350788,0.09294988713318283
21400939,1610612758,1610612737,1,53,88,0.602,20,36,0.555555556,0.571,33,52,0.634615385,240,4,7,10,23,42,8,6,13,18,130,0,39,81,0.481,8,20,0.4,0.95,31,61,0.508196721,240,19,20,16,24,21,10,2,16,12,105,26,235,25,77.91666666666667,219.58333333333337,86,79,227.5,-79,0.0965362775638354,0.15907343775796598
21200494,1610612757,1610612750,0,38,91,0.418,5,16,0.3125,0.889,33,75,0.44,240,16,18,19,33,22,6,8,13,13,97,1,37,86,0.43,16,24,0.666666667,0.923,21,62,0.338709677,240,12,13,11,28,22,3,8,13,22,102,30,199,-5,78.8,225.9,-6,79.44444444444444,224.11111111111111,23,0.14086882902015202,0.14823130237028065
21400638,1610612762,1610612749,0,42,92,0.457,5,13,0.384615385,0.833,37,79,0.46835443,240,10,12,15,25,26,11,5,12,25,99,1,32,71,0.451,14,31,0.451612903,0.821,18,40,0.45,240,23,28,12,31,25,9,3,22,15,101,27,200,-2,79.45454545454545,227.27272727272728,37,79.375,224.375,7,0.12277756717457478,0.11701247531038374
21300444,1610612750,1610612749,0,40,89,0.449,5,22,0.227272727,0.588,35,67,0.52238806,240,10,17,16,27,25,12,6,20,20,95,1,43,90,0.478,11,24,0.458333333,0.69,32,66,0.484848485,240,20,29,19,33,33,14,2,18,15,117,35,212,-22,79.9,223.5,-58,78.46153846153847,218.84615384615384,110,0.14450467978911885,0.1073838841655164
21400507,1610612761,1610612756,1,48,89,0.539,8,23,0.347826087,0.75,40,66,0.606060606,240,21,28,8,33,26,15,2,17,29,125,0,38,83,0.458,9,26,0.346153846,0.828,29,57,0.50877193,240,24,29,9,34,22,9,4,21,24,109,17,234,16,78.3076923076923,219.69230769230768,85,78.9,220.9,-51,0.08005356498732885,0.09767387133182852
21200324,1610612759,1610612757,1,40,88,0.455,7,27,0.259259259,0.917,33,61,0.540983607,240,11,12,9,31,19,11,5,15,19,98,0,33,72,0.458,6,19,0.315789474,0.72,27,53,0.509433962,240,18,25,7,31,23,8,2,19,11,90,16,188,8,79.22222222222223,222.55555555555551,13,78.08333333333333,220,-27,0.13000073585322183,0.10785644020692305
21200173,1610612760,1610612738,1,39,80,0.488,9,17,0.529411765,0.875,30,63,0.476190476,240,21,24,8,28,28,10,1,16,23,108,0,37,79,0.468,6,24,0.25,0.833,31,55,0.563636364,240,20,24,8,32,22,6,7,17,23,100,16,208,8,78.4,222.9,1,80.33333333333333,228,7,0.12000354475530514,0.18122626712894171
21201168,1610612751,1610612738,0,37,81,0.457,6,16,0.375,0.765,31,65,0.476923077,240,13,17,10,27,20,4,2,13,21,93,1,34,74,0.459,8,19,0.421052632,0.893,26,55,0.472727273,240,25,28,9,30,19,8,3,14,21,101,19,194,-8,79,223,-57,79,224.5,81,0.12908131494597022,0.14378895286445434
21400108,1610612759,1610612744,0,38,70,0.543,7,20,0.35,0.85,31,50,0.62,240,17,20,1,37,23,5,4,20,16,100,1,46,93,0.495,10,25,0.4,0.733,36,68,0.529411765,240,11,15,8,28,28,9,1,8,19,113,9,213,-13,79,224.1818181818182,-53,79.66666666666667,227.08333333333337,39,0.135065031657873,0.16671388877423737
21200307,1610612764,1610612740,0,26,80,0.325,4,16,0.25,0.636,22,64,0.34375,240,14,22,12,42,14,8,9,16,28,70,1,27,82,0.329,5,19,0.263157895,0.783,22,63,0.349206349,240,18,23,10,39,14,3,6,15,22,77,22,147,-7,79.36363636363636,225.36363636363637,-13,80.2,229.7,5,0.11416660758433302,0.1481048532731376
21200987,1610612752,1610612746,1,34,75,0.453,8,28,0.285714286,0.548,26,47,0.553191489,240,17,31,12,39,20,5,8,12,18,93,0,29,81,0.358,12,26,0.461538462,0.714,17,55,0.309090909,240,10,14,7,32,21,7,1,9,27,80,19,173,13,79.11111111111111,224.88888888888889,36,78.7,220.1,-29,0.14024650291690635,0.1171133347779428
21400167,1610612752,1610612750,1,44,89,0.494,11,22,0.5,0.727,33,67,0.492537313,240,16,22,15,20,26,15,2,14,23,115,0,34,69,0.493,9,16,0.5625,0.786,25,53,0.471698113,240,22,28,8,25,19,6,3,23,22,99,23,214,16,78.81818181818181,212.36363636363637,96,79.16666666666667,224.41666666666663,-66,0.05677329918405323,0.11480584085778783
21300750,1610612763,1610612737,0,30,70,0.429,8,20,0.4,0.533,22,50,0.44,240,8,15,7,35,21,10,3,21,10,76,1,37,90,0.411,4,12,0.333333333,1,33,78,0.423076923,240,1,1,11,30,22,14,5,16,12,79,18,155,-3,78,220.625,9,80,226.1,-13,0.1029163920404419,0.16652220571239887
21200117,1610612748,1610612746,1,35,72,0.486,10,21,0.476190476,0.844,25,51,0.490196078,240,27,32,9,29,22,11,8,19,25,107,0,35,77,0.455,9,21,0.428571429,0.724,26,56,0.464285714,240,21,29,11,25,22,11,6,19,25,100,20,207,7,78.81818181818181,225.63636363636363,33,78.58333333333333,218.16666666666663,-54,0.10909377568057269,0.08321159706546265
21400502,1610612755,1610612746,1,46,85,0.541,15,37,0.405405405,0.769,31,48,0.645833333,240,20,26,9,34,33,13,3,9,19,127,0,32,79,0.405,9,25,0.36,0.692,23,54,0.425925926,240,18,26,15,30,17,7,1,21,19,91,24,218,36,78.58333333333333,222.91666666666663,54,80.1,220.6,-109,0.12270654133952172,0.13956862927191663
21200170,1610612751,1610612744,1,40,75,0.533,7,15,0.466666667,0.789,33,60,0.55,240,15,19,12,31,24,3,1,16,17,102,0,38,83,0.458,6,23,0.260869565,0.733,32,60,0.533333333,240,11,15,14,21,26,7,6,11,16,93,26,195,9,78.9,228.3,34,79.07692307692308,223.76923076923077,-25,0.12052790903169602,0.11118261984586005
21300580,1610612760,1610612745,0,33,82,0.402,12,34,0.352941176,0.667,21,48,0.4375,240,14,21,10,32,20,4,5,17,20,92,1,38,82,0.463,6,25,0.24,0.88,32,57,0.561403509,240,22,25,10,37,18,11,8,16,26,104,20,196,-12,79.11111111111111,220.88888888888889,-54,79.7,231.3,55,0.11996543863577576,0.18887560364041608
21400428,1610612760,1610612759,0,42,81,0.519,7,23,0.304347826,0.714,35,58,0.603448276,240,15,21,10,28,33,8,5,17,26,106,1,42,81,0.519,9,15,0.6,0.553,33,66,0.5,240,21,38,16,31,25,9,6,14,20,114,26,220,-8,79.75,226.25,-77,78.66666666666667,223.11111111111111,76,0.15641188276354823,0.13191654590036636
21400719,1610612766,1610612764,0,33,81,0.407,6,15,0.4,0.842,27,66,0.409090909,240,16,19,10,33,19,7,3,12,23,88,1,37,79,0.468,4,15,0.266666667,0.737,33,64,0.515625,240,14,19,6,36,21,6,3,13,18,92,16,180,-4,79.6,226.3,-46,78.33333333333333,228.55555555555551,52,0.15449189335033972,0.15462471872152816
21200467,1610612764,1610612754,1,29,77,0.377,5,16,0.3125,0.839,24,61,0.393442623,240,26,31,11,37,17,9,3,17,14,89,0,35,83,0.422,3,13,0.230769231,0.8,32,70,0.457142857,240,8,10,8,33,24,9,6,19,25,81,19,170,8,78.88888888888889,225.33333333333337,65,79.63636363636364,227.54545454545453,-59,0.13929068496857588,0.16864349628938302
21401042,1610612764,1610612758,1,40,79,0.506,8,17,0.470588235,0.913,32,62,0.516129032,240,21,23,4,30,24,12,2,17,17,109,0,35,87,0.402,3,17,0.176470588,0.722,32,70,0.457142857,240,13,18,16,28,21,7,3,17,18,86,20,195,23,79.5,230,72,79.15384615384616,228.30769230769232,-81,0.1718937301349302,0.1654537075299451
21200273,1610612764,1610612737,1,41,85,0.482,10,26,0.384615385,0.632,31,59,0.525423729,240,12,19,15,32,23,7,1,14,19,104,0,36,79,0.456,7,16,0.4375,0.8,29,63,0.46031746,240,16,20,7,25,22,6,4,12,17,95,22,199,9,77.66666666666667,214.77777777777777,68,79.63636363636364,227.27272727272728,-57,0.05392046176187304,0.13171152360875335
21200444,1610612756,1610612750,1,45,89,0.506,5,18,0.277777778,0.615,40,71,0.563380282,240,16,26,11,40,27,2,3,10,14,111,0,45,97,0.464,2,17,0.117647059,0.625,43,80,0.5375,240,15,24,11,35,29,7,5,5,23,107,22,218,4,78.77777777777777,229.44444444444449,31,78.22222222222223,224.22222222222223,-28,0.12364140694814987,0.10326842237271144
21200728,1610612756,1610612740,1,39,75,0.52,4,14,0.285714286,0.647,35,61,0.573770492,240,11,17,9,24,24,10,7,13,17,93,0,35,78,0.449,1,15,0.066666667,0.867,34,63,0.53968254,240,13,15,11,29,19,4,4,17,17,84,20,177,9,79.1,225.9,32,79.1,230.3,-31,0.1133169981403096,0.13768222347629794
21200250,1610612753,1610612744,0,37,81,0.457,7,17,0.411764706,0.722,30,64,0.46875,240,13,18,9,34,23,5,5,14,20,94,1,40,92,0.435,8,23,0.347826087,0.875,32,69,0.463768116,240,14,16,11,32,29,8,4,8,19,102,20,196,-8,78.63636363636364,225.27272727272728,11,78,225.66666666666663,22,0.1353383429638253,0.13517933795608386
21401077,1610612748,1610612737,1,37,72,0.514,6,18,0.333333333,0.792,31,54,0.574074074,240,19,24,5,33,31,12,4,17,13,99,0,32,82,0.39,11,35,0.314285714,0.733,21,47,0.446808511,240,11,15,11,30,20,9,6,19,20,86,16,185,13,78.5,216.9,55,77.5,214.3,-71,0.09124552257051742,0.0710909123741126
21200337,1610612744,1610612737,0,31,84,0.369,5,26,0.192307692,0.722,26,58,0.448275862,240,26,36,10,35,21,6,3,11,15,93,1,49,99,0.495,10,24,0.416666667,0.875,39,75,0.52,240,7,8,10,44,32,10,3,11,25,115,20,208,-22,78.76923076923077,224.15384615384616,-66,78.58333333333333,224.66666666666663,73,0.10270098667241878,0.10915474040632048
21300660,1610612757,1610612744,1,38,91,0.418,10,25,0.4,0.81,28,66,0.424242424,240,17,21,10,41,22,8,4,9,21,103,0,28,83,0.337,6,21,0.285714286,0.788,22,62,0.35483871,240,26,33,12,42,16,3,6,15,19,88,22,191,15,78.63636363636364,220.45454545454547,72,78.18181818181819,218.72727272727272,-81,0.1110554809068912,0.10283658549564276
21200057,1610612763,1610612749,0,35,91,0.385,6,15,0.4,0.667,29,76,0.381578947,240,14,21,16,25,22,10,9,10,18,90,1,44,83,0.53,6,16,0.375,0.737,38,67,0.567164179,240,14,19,11,38,28,7,5,14,20,108,27,198,-18,79.75,220,-57,77.9090909090909,220.27272727272728,51,0.12446680312919609,0.1067545772120775
21200439,1610612761,1610612753,0,36,81,0.444,5,18,0.277777778,0.5,31,63,0.492063492,240,11,22,10,25,18,6,8,7,13,88,1,46,82,0.561,15,27,0.555555556,0.762,31,55,0.563636364,240,16,21,9,35,33,3,2,8,18,123,19,211,-35,79.1,224.6,-62,77.91666666666667,217.16666666666663,66,0.13862181812715052,0.0912543581920826
21300384,1610612762,1610612737,1,45,86,0.523,10,26,0.384615385,0.75,35,60,0.583333333,240,18,24,10,36,32,10,7,10,20,118,0,35,94,0.372,3,18,0.166666667,0.8,32,76,0.421052632,240,12,15,17,32,21,6,8,16,17,85,27,203,33,77.75,219.58333333333337,106,77.91666666666667,219.33333333333337,-98,0.07350215554035408,0.08044142212189617
21201064,1610612754,1610612745,0,32,83,0.386,6,21,0.285714286,0.808,26,62,0.419354839,240,21,26,15,27,18,7,4,14,25,91,1,35,78,0.449,6,18,0.333333333,0.857,29,60,0.483333333,240,24,28,9,36,20,9,5,14,21,100,24,191,-9,79.66666666666667,224.66666666666663,-56,78.8,223.3,73,0.14711921376061357,0.1347949686313357
21301148,1610612761,1610612749,0,38,79,0.481,1,9,0.111111111,0.778,37,70,0.528571429,240,21,27,12,25,28,5,5,10,21,98,1,36,81,0.444,12,27,0.444444444,0.818,24,54,0.444444444,240,18,22,12,27,20,5,2,10,22,102,24,200,-4,79.57142857142857,221.71428571428572,-24,79.22222222222223,223.66666666666663,45,0.1306914238026735,0.1427487288964713
