Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
287,Isaiah Livers,PF,24,DET,46,16,1030,101,248,0.407,63,179,0.352,38,69,0.551,0.534,23,30,0.767,23,93,116,34,27,25,26,88,288,liveris01
288,Kenneth Lofton Jr.,PF,20,MEM,16,0,72,19,40,0.475,4,11,0.364,15,29,0.517,0.525,5,9,0.556,8,11,19,11,1,1,5,13,47,loftoke01
289,Kevon Looney,C,26,GSW,73,64,1720,223,347,0.643,0,1,0,223,346,0.645,0.643,82,138,0.594,238,427,665,177,45,46,40,204,528,looneke01
290,Brook Lopez,C,34,MIL,69,69,2118,414,795,0.521,128,339,0.378,286,456,0.627,0.601,122,159,0.767,136,326,462,91,35,172,97,175,1078,lopezbr01
291,Robin Lopez,C,34,CLE,34,1,254,39,60,0.65,2,3,0.667,37,57,0.649,0.667,12,16,0.75,21,24,45,14,1,6,22,34,92,lopezro01
292,Kevin Love,PF,34,TOT,54,16,1097,145,373,0.389,87,259,0.336,58,114,0.509,0.505,73,83,0.88,55,308,363,100,12,10,64,85,450,loveke01
292,Kevin Love,PF,34,CLE,41,3,821,111,285,0.389,69,195,0.354,42,90,0.467,0.511,56,63,0.889,42,238,280,76,7,7,47,65,347,loveke01
292,Kevin Love,PF,34,MIA,13,13,276,34,88,0.386,18,64,0.281,16,24,0.667,0.489,17,20,0.85,13,70,83,24,5,3,17,20,103,loveke01
293,Kyle Lowry,PG,36,MIA,48,44,1565,181,447,0.405,99,285,0.347,82,162,0.506,0.516,103,121,0.851,38,165,203,250,51,18,94,132,564,lowryky01
294,Trey Lyles,PF,27,SAC,64,0,1073,167,349,0.479,76,202,0.376,91,147,0.619,0.587,88,110,0.8,57,197,254,61,22,28,56,82,498,lylestr01
295,Th�o Maledon,PG,21,CHO,36,1,581,65,157,0.414,21,63,0.333,44,94,0.468,0.481,49,56,0.875,9,77,86,86,27,6,35,37,200,maledth01
296,Sandro Mamukelashvili,C,23,TOT,33,2,401,45,124,0.363,20,64,0.313,25,60,0.417,0.444,26,38,0.684,41,71,112,33,9,7,18,39,136,mamuksa01
296,Sandro Mamukelashvili,C,23,MIL,24,0,217,19,58,0.328,7,32,0.219,12,26,0.462,0.388,12,18,0.667,18,38,56,16,4,5,9,19,57,mamuksa01
296,Sandro Mamukelashvili,C,23,SAS,9,2,184,26,66,0.394,13,32,0.406,13,34,0.382,0.492,14,20,0.7,23,33,56,17,5,2,9,20,79,mamuksa01
297,Terance Mann,SG,26,LAC,72,35,1658,249,471,0.529,66,171,0.386,183,300,0.61,0.599,80,104,0.769,70,182,252,163,38,20,69,131,644,mannte01
298,Tre Mann,PG,21,OKC,60,4,1082,179,461,0.388,76,240,0.317,103,221,0.466,0.471,37,50,0.74,24,112,136,102,36,11,55,89,471,manntr01
299,Boban Marjanovi?,C,34,HOU,25,0,119,31,45,0.689,0,1,0,31,44,0.705,0.689,18,24,0.75,13,29,42,5,4,1,8,5,80,marjabo01
300,Lauri Markkanen,SF,25,UTA,63,63,2169,543,1079,0.503,193,481,0.401,350,598,0.585,0.593,324,372,0.871,124,416,540,116,40,38,120,131,1603,markkla01
301,Naji Marshall,SF,25,NOP,67,21,1641,223,516,0.432,63,206,0.306,160,310,0.516,0.493,124,155,0.8,44,206,250,168,49,13,84,101,633,marshna01
302,Caleb Martin,PF,27,MIA,62,49,1845,232,496,0.468,82,219,0.374,150,277,0.542,0.55,82,102,0.804,79,224,303,101,62,29,68,127,628,martica02
303,Cody Martin,SF,27,CHO,7,0,134,14,36,0.389,3,14,0.214,11,22,0.5,0.431,4,7,0.571,8,16,24,11,4,1,2,13,35,martico01
304,Kenyon Martin Jr.,SF,22,HOU,72,39,1975,350,620,0.565,60,194,0.309,290,426,0.681,0.613,128,189,0.677,110,291,401,109,38,25,84,127,888,martike04
305,Tyrese Martin,SG,23,ATL,13,0,45,6,16,0.375,1,5,0.2,5,11,0.455,0.406,2,2,1,2,4,6,0,1,0,1,2,15,martity01
306,Garrison Mathews,SG,26,TOT,49,0,628,62,177,0.35,54,160,0.338,8,17,0.471,0.503,43,48,0.896,10,57,67,24,23,4,18,57,221,mathega01
306,Garrison Mathews,SG,26,HOU,45,0,602,60,170,0.353,53,155,0.342,7,15,0.467,0.509,41,45,0.911,10,52,62,23,23,4,18,56,214,mathega01
306,Garrison Mathews,SG,26,ATL,4,0,26,2,7,0.286,1,5,0.2,1,2,0.5,0.357,2,3,0.667,0,5,5,1,0,0,0,1,7,mathega01
307,Bennedict Mathurin,SF,20,IND,68,7,1890,361,838,0.431,89,280,0.318,272,558,0.487,0.484,322,390,0.826,74,198,272,96,41,8,122,138,1133,mathube01
308,Wesley Matthews,SG,36,MIL,41,0,632,43,125,0.344,33,100,0.33,10,25,0.4,0.476,17,20,0.85,30,59,89,21,17,10,16,59,136,matthwe02
309,Tyrese Maxey,SG,22,PHI,52,33,1724,376,794,0.474,130,312,0.417,246,482,0.51,0.555,159,189,0.841,22,122,144,182,40,7,70,114,1041,maxeyty01
310,Miles McBride,PG,22,NYK,56,2,674,67,186,0.36,37,119,0.311,30,67,0.448,0.46,26,38,0.684,13,34,47,63,33,7,21,52,197,mcbrimi01
311,CJ McCollum,SG,31,NOP,65,65,2281,509,1171,0.435,182,475,0.383,327,696,0.47,0.512,164,209,0.785,52,238,290,385,59,34,166,131,1364,mccolcj01
312,T.J. McConnell,PG,30,IND,67,6,1343,231,437,0.529,23,52,0.442,208,385,0.54,0.555,49,58,0.845,40,164,204,348,74,7,123,90,534,mccontj01
313,Jaden McDaniels,SF,22,MIN,70,70,2157,327,631,0.518,95,240,0.396,232,391,0.593,0.594,96,128,0.75,86,189,275,137,64,68,100,243,845,mcdanja02
